,Canada,United Kingdom,Spain,Greece,Guatemala,Mexico,Panama,Costa Rica,El Salvador,Japan,Philippines,Argentina,Brazil,Chile,Ecuador,Peru,Thailand,Malaysia,Australia,China,United States
0,1.0934122,1.0880121,1.0867494,1.0865786,1.0866698,1.1070582,1.0882653,1.086617,1.0871934,1.0898149,1.0913565,1.0900754,1.0870423,1.1107469,1.0868202,1.0874592,1.0894108,1.0864096,1.0974497,1.0900626,1.1164303
1,1.2004094,1.1992843,1.1886606,1.2005163,1.2006403,1.22121,1.1926627,1.2005717,1.1921868,1.202164,1.2036728,1.199141,1.1899819,1.2253541,1.2006974,1.2013434,1.2010274,1.2003429,1.2115221,1.1990566,1.222116
2,0.8009051,0.7913174,0.79708576,0.7879468,0.7880159,0.8082426,0.7965665,0.7879735,0.79479426,0.79240775,0.79390687,0.7948674,0.7961363,0.81139714,0.78822964,0.78886354,0.79241574,0.7877805,0.7986803,0.79497904,0.82918125
3,0.52829087,0.5596288,0.52228826,0.5717576,0.5717808,0.552454,0.53269714,0.57177955,0.5380388,0.5617622,0.56054395,0.55000025,0.5300045,0.5514965,0.5712971,0.57068443,0.56005806,0.5719117,0.56174886,0.5491538,0.46403977
4,0.95038384,0.94142693,0.9423454,0.9395236,0.93960935,0.95989686,0.94371575,0.9395591,0.942056,0.94325364,0.94478524,0.9441316,0.9423173,0.96317595,0.939777,0.9404151,0.94283193,0.93935525,0.9504184,0.9441727,0.9863804
5,1.2803806,1.2929792,1.2849932,1.2968447,1.2967795,1.2766414,1.2861534,1.29682,1.2885439,1.2919099,1.2905097,1.2890648,1.2868232,1.2739607,1.2965521,1.2959193,1.2919816,1.2970105,1.2861862,1.2888292,1.2446576
6,-2.8838966,-2.8991733,-2.8868697,-2.904514,-2.9044657,-2.8844428,-2.888994,-2.9044983,-2.8915303,-2.8988237,-2.8972754,-2.8941085,-2.888768,-2.8819492,-2.9041917,-2.9035618,-2.8983161,-2.9046776,-2.8938313,-2.8939059,-2.822668
7,-0.5863384,-0.5867636,-0.57211065,-0.58904386,-0.5891799,-0.6098071,-0.57728297,-0.5891057,-0.5770966,-0.59011275,-0.5915823,-0.58577526,-0.5738608,-0.61397606,-0.58920354,-0.58985215,-0.5886323,-0.58886904,-0.600094,-0.5856658,-0.61593133
8,0.19349898,0.18264107,0.18949513,0.17903684,0.17911148,0.19931161,0.18690616,0.17906632,0.1843983,0.18374863,0.1847851,0.18527651,0.18561521,0.20131674,0.17931405,0.17994742,0.18328148,0.17887028,0.18936057,0.18576738,0.22394393
9,0.07580125,0.08358081,0.08372939,0.085276656,0.08518153,0.06484803,0.08378702,0.08523638,0.0856448,0.08171141,0.08055717,0.08214783,0.08590919,0.062397614,0.08503817,0.0843997,0.08254906,0.08544593,0.07472831,0.08182909,0.045369036
10,-1.3595909,-1.3636721,-1.3709917,-1.3634071,-1.3632917,-1.342817,-1.3684609,-1.3633564,-1.3695457,-1.3610554,-1.3597572,-1.3634475,-1.3712951,-1.3397236,-1.3632079,-1.3625646,-1.3622314,-1.3635794,-1.3526167,-1.3633289,-1.3261055
11,-0.0026490628,-0.008094048,-0.009331021,-0.009526006,-0.009434903,0.010952652,-0.007798541,-0.009487667,-0.008875344,-0.00628633,-0.004746481,-0.0060233376,-0.009030845,0.014629327,-0.009284374,-0.0086454945,-0.006692616,-0.009695105,0.0013425596,-0.0060400036,0.020041293
12,-0.00085222675,0.0045928303,0.0058297403,0.0060248068,0.0059337025,-0.01445385,0.004297295,0.005986467,0.0053740907,0.0027851157,0.001245268,0.0025221056,0.005529584,-0.01813049,0.0057831705,0.005144294,0.0031914008,0.0061939033,-0.0048437584,0.0025387716,-0.023675872
13,-4.5053687,-4.565041,-4.4495583,-4.6090226,-4.609449,-4.609203,-4.581006,-4.6093183,-4.592313,-4.5924287,-4.6042786,-4.5949316,-4.5547338,-4.612229,-4.6093254,-4.6090384,-4.59265,-4.609106,-4.6073227,-4.5549645,-4.504503
14,2.3885448,2.447157,2.3293977,2.4910686,2.4915009,2.490878,2.4629142,2.491368,2.4740767,2.4747252,2.4863656,2.4768765,2.4357917,2.4917512,2.491373,2.491084,2.4746573,2.4911528,2.4894009,2.4368453,2.5894804
15,-0.027015029,-0.021371413,-0.0203539,-0.019904844,-0.019995427,-0.040377624,-0.021828035,-0.019942936,-0.02073119,-0.023178231,-0.024705019,-0.02347312,-0.020588527,-0.04399003,-0.020147443,-0.020786168,-0.022763466,-0.019735657,-0.030759806,-0.023457136,-0.05051628
16,-1.3862554,-1.4057398,-1.3383952,-1.4210434,-1.4213994,-1.4426907,-1.3516313,-1.421218,-1.3506415,-1.4145246,-1.4147196,-1.3891165,-1.333284,-1.4487337,-1.4208379,-1.4215266,-1.4077132,-1.4208499,-1.4318992,-1.3900508,-1.3971231
17,0.8425637,0.85572314,0.7963313,0.869434,0.8697647,0.8909354,0.8079975,0.86959594,0.8059697,0.8642369,0.86421084,0.8406373,0.7897759,0.89367414,0.86927444,0.8699575,0.85752094,0.86923915,0.8799273,0.8415592,0.903933
