,Canada,Hong Kong,Singapore,China
0,1.0883077,1.0906795,1.0874026,0.9292405
1,1.1979795,1.2046536,1.1961828,1.0342003
2,0.79281354,0.792022,0.7926906,0.63966393
3,0.55302215,0.5677981,0.54925424,0.3542195
4,0.9424965,0.9436158,0.9420983,0.79332554
5,1.2909504,1.2927761,1.2905803,1.4338771
6,-2.8964684,-2.9004645,-2.8958068,-2.7034888
7,-0.58488816,-0.5931941,-0.5827517,-0.4311562
8,0.18364759,0.18311685,0.18389906,0.288682
9,0.08348417,0.08117358,0.08395981,0.22944288
10,-1.3645368,-1.3592808,-1.3658093,-1.5043448
11,-0.0077669783,-0.0054253084,-0.008671129,-0.16686401
12,0.00426728,0.0019241086,0.005171104,0.16326594
13,-4.626653,-4.6138515,-4.666919,-4.8086076
14,2.460835,2.4865768,2.4111779,2.2972336
15,-0.025193246,-0.024005122,-0.024591135,0.13720527
16,-1.389475,-1.4254317,-1.3794285,-1.4705713
17,0.91851956,0.86173123,0.92064375,0.9184763
